rgn_id,port,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
4,COQUIMBO,TIBURON O MARRAJO,55,121,20,0,5,7,0,4,26,9,1,0,1,3,0
4,COQUIMBO,TIBURON O MARRAJO DENTUDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,COQUIMBO,VIDRIOLA O TOREMO,12,75,5,1,1,0,0,0,0,0,0,0,0,0,0
4,COQUIMBO,"VIDRIOLA, PALOMETA, DORADO O TOREMO",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
4,LOS VILOS,ANCHOVETA,0,0,0,0,271,0,0,0,0,0,54,0,0,0,0
4,LOS VILOS,CAMARON NAILON,0,1,0,0,28,77,28,15,19,2,40,3,38,28,7
4,LOS VILOS,LANGOSTINO AMARILLO,39,0,3,0,482,773,1197,1326,1373,1379,1522,1173,1243,864,213
4,LOS VILOS,LANGOSTINO COLORADO,0,0,0,0,2,0,0,0,0,0,0,405,1138,838,16
4,LOS VILOS,MERLUZA COMUN,0,0,0,0,0,43,39,104,37,21,39,36,46,5,0
5,QUINTERO,BESUGO,0,0,0,25,8,1,1,0,6,5,3,1,0,0,0
5,QUINTERO,CAMARON NAILON,723,1223,1097,1009,882,1387,1392,1351,1432,1414,1353,1417,1421,1342,1667
5,QUINTERO,CAMARON NAVAJA,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
5,QUINTERO,CONGRIO DORADO,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0
5,QUINTERO,CONGRIO NEGRO,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
5,QUINTERO,GAMBA,17,125,300,259,95,112,7,33,80,46,32,21,47,54,66
5,QUINTERO,JIBIA O CALAMAR ROJO,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
5,QUINTERO,LANGOSTINO AMARILLO,304,164,42,172,107,118,133,169,115,157,69,122,99,85,506
5,QUINTERO,LANGOSTINO COLORADO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,526
5,QUINTERO,MERLUZA COMUN,289,48,57,31,5,21,20,33,51,59,52,72,48,17,1
5,QUINTERO,RAYA ESPINOSA,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0
5,QUINTERO,RAYA MOTEADA,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
5,QUINTERO,RAYA NEGRA,0,0,0,0,0,0,22,60,42,0,0,0,0,0,0
5,QUINTERO,RAYA VOLANTIN,0,0,3,539,350,165,102,1,0,17,29,0,5,0,0
5,SAN ANTONIO,AGUJILLA,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0
5,SAN ANTONIO,ALBACORA O PEZ ESPADA,14,7,28,18,18,23,25,15,61,84,22,60,51,0,0
5,SAN ANTONIO,ALBACORA O PEZ ESPADA / IVI HEHEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
5,SAN ANTONIO,ANCHOVETA,21388,0,669,1298,3951,7016,5746,1869,46,1462,203,228,0,0,0
5,SAN ANTONIO,ATUN ALETA AMARILLA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,SAN ANTONIO,AZULEJO,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5,SAN ANTONIO,BACALADILLO O MOTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
5,SAN ANTONIO,BACALAO DE PROFUNDIDAD,18,6,5,0,3,2,1,0,0,0,0,0,0,0,0
5,SAN ANTONIO,BESUGO,11,8,0,17,1,2,2,0,2,3,2,0,0,0,0
5,SAN ANTONIO,BLANQUILLO,15,0,0,1,5,1,0,2,2,0,0,1,5,8,2
5,SAN ANTONIO,CABALLA,59,0,0,0,73,22,0,23,5,95,42,117,0,0,0
5,SAN ANTONIO,CAMARON NAILON,3,0,5,154,194,287,246,129,317,393,463,440,645,459,694
5,SAN ANTONIO,COJINOBA DEL NORTE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SAN ANTONIO,COJINOBA DEL SUR,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5,SAN ANTONIO,CONGRIO DORADO,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
5,SAN ANTONIO,CONGRIO NEGRO,25,2,15,18,14,9,29,3,12,27,5,3,3,6,4
5,SAN ANTONIO,GAMBA,0,0,2,59,2,6,1,9,2,8,4,3,17,10,0
5,SAN ANTONIO,JIBIA O CALAMAR ROJO,0,1,0,3,427,359,136,10,1,26,95,21,0,0,2
5,SAN ANTONIO,JUREL,1770,0,0,0,0,619,2,152,137,920,439,466,0,0,0
5,SAN ANTONIO,LANGOSTINO AMARILLO,89,0,0,0,13,53,757,784,2086,1788,1370,986,974,620,451
5,SAN ANTONIO,LANGOSTINO COLORADO,141,0,0,0,0,0,2,18,57,142,146,935,812,1743,1077
5,SAN ANTONIO,MERLUZA COMUN,10676,15179,11950,12735,6621,2312,3259,5421,2090,1097,938,1206,1786,2374,1359
5,SAN ANTONIO,MERLUZA DE COLA,1,0,0,0,0,0,0,0,0,0,2027,0,0,0,0
5,SAN ANTONIO,MERLUZA DEL SUR O AUSTRAL,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
5,SAN ANTONIO,PEJEGALLO,31,2,15,14,18,6,11,7,8,5,1,1,0,2,6
5,SAN ANTONIO,PEJEZORRO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,SAN ANTONIO,PESCADO NO CLASIFICADO,2,0,0,0,7,2,6,6,1,2,3,2,2,3,0
5,SAN ANTONIO,PEZ SOL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,SAN ANTONIO,PICHIBUENO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
5,SAN ANTONIO,RAYA VOLANTIN,0,0,0,8,37,0,0,0,0,0,0,0,2,0,0
5,SAN ANTONIO,REINETA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SAN ANTONIO,SARDINA COMUN,6542,0,186,21,2555,272,2010,343,12,2356,1646,1230,0,0,0
5,SAN ANTONIO,SARDINA ESPAÑOLA,9,0,0,0,7,32,5,0,0,0,0,0,0,0,0
5,SAN ANTONIO,SIERRA,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
5,SAN ANTONIO,TIBURON O MARRAJO,0,2,0,1,5,0,2,1,3,8,2,5,7,0,0
5,SAN ANTONIO,TOLLO,0,0,7,0,0,0,0,0,0,2,0,0,0,0,1
5,VALPARAISO,ALBACORA O PEZ ESPADA,206,33,58,57,6,42,26,0,29,28,4,0,0,0,0
5,VALPARAISO,ALFONSINO,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
5,VALPARAISO,ANCHOVETA,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0
5,VALPARAISO,ATUN OJOS GRANDES,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
5,VALPARAISO,AZULEJO,2,12,14,6,0,0,0,1,21,6,0,0,0,0,0
5,VALPARAISO,BACALAO DE PROFUNDIDAD,3,5,10,1,7,3,5,0,0,0,0,0,0,0,0
5,VALPARAISO,BESUGO,105,38,0,18,38,1094,365,5,1,0,2,0,0,0,0
