rgn_id,CALETA,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,CHANAVAYITA,ROLLIZO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,CHANAVAYITA,SARDINA ESPAÑOLA,0,0,0,79,9,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,SARGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,TOMOYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHANAVAYITA,VIEJA O MULATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,ALMEJA,0,0,2,0,20,24,5,3,0,0,0,1,0,21,6
1,CHIPANA,ANCHOVETA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,CABRILLA COMUN,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
1,CHIPANA,CARACOL LOCATE,6,31,1,36,80,101,42,165,38,18,0,38,10,26,6
1,CHIPANA,CHASCON O HUIRO NEGRO,0,0,0,88,0,2501,1983,1518,0,3194,1864,1261,654,689,605
1,CHIPANA,CHOLGA,4,7,2,0,1,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,CHORO,0,0,6,14,19,15,1,27,9,8,171,178,234,155,82
1,CHIPANA,COJINOBA DEL NORTE,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0
1,CHIPANA,CONGRIO NEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,CORVINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,CULENGUE,0,0,3,3,1,0,6,6,0,0,0,0,0,0,0
1,CHIPANA,DORADO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,ERIZO,10,29,32,14,465,44,96,57,62,64,118,14,10,0,35
1,CHIPANA,HUIRO,0,0,0,0,0,0,93,0,0,443,382,156,206,238,28
1,CHIPANA,HUIRO PALO,0,0,0,56,0,164,128,7,0,841,392,144,59,100,76
1,CHIPANA,LAPA,7,3,9,9,71,4,1,2,3,0,3,0,0,0,0
1,CHIPANA,LAPA NEGRA,0,0,0,3,0,0,0,2,0,7,0,2,1,0,6
1,CHIPANA,LENGUADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,LOCO,0,0,0,6,16,21,4,16,73,68,64,10,29,43,16
1,CHIPANA,PEJEPERRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,PESCADO NO CLASIFICADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,PIURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,PULPO,23,7,2,38,26,0,0,0,0,0,12,38,40,2,6
1,CHIPANA,RAYA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,SARDINA ESPAÑOLA,0,0,0,57,85,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,SARGO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,TIBURON O MARRAJO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHIPANA,VIEJA O MULATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,LA PESCADORA,HUIRO PALO,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
