REGION,PORT,SPECIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
5,QUINTERO,CONGRIO DORADO, -   , -   ,1,2,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,QUINTERO,CONGRIO NEGRO, -   ,2, -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   
5,QUINTERO,GAMBA,17,125,300,259,95,112,7,33,80,46,32,21,47,54,66
5,QUINTERO,JIBIA O CALAMAR ROJO, -   , -   , -   , -   , -   , -   ,8, -   , -   , -   , -   , -   , -   , -   , -   
5,QUINTERO,LANGOSTINO AMARILLO,304,164,42,172,107,118,133,169,115,157,69,122,99,85,506
5,QUINTERO,LANGOSTINO COLORADO, -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   ,526
5,QUINTERO,MERLUZA COMUN,289,48,57,31,5,21,20,33,51,59,52,72,48,17,1
5,QUINTERO,RAYA ESPINOSA, -   , -   , -   , -   , -   , -   ,10, -   ,2, -   , -   , -   , -   , -   , -   
5,QUINTERO,RAYA MOTEADA, -   , -   , -   , -   , -   , -   ,4, -   , -   , -   , -   , -   , -   , -   , -   
5,QUINTERO,RAYA NEGRA, -   , -   , -   , -   , -   , -   ,22,60,42, -   , -   , -   , -   , -   , -   
5,QUINTERO,RAYA VOLANTIN, -   , -   ,3,539,350,165,102,1, -   ,17,29, -   ,5, -   , -   
5,SAN ANTONIO,AGUJILLA,5, -   , -   , -   , -   , -   , -   ,20, -   , -   , -   , -   , -   , -   , -   
5,SAN ANTONIO,ALBACORA O PEZ ESPADA,14,7,28,18,18,23,25,15,61,84,22,60,51, -   , -   
5,SAN ANTONIO,ALBACORA O PEZ ESPADA / IVI HEHEU, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,58
5,SAN ANTONIO,ANCHOVETA,"21,388", -   ,669,"1,298","3,951","7,016","5,746","1,869",46,"1,462",203,228, -   , -   , -   
5,SAN ANTONIO,ATUN ALETA AMARILLA, -   , -   , -   , -   , -   , -   , -   , -   ,1,1, -   , -   , -   , -   , -   
5,SAN ANTONIO,AZULEJO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   
5,SAN ANTONIO,BACALADILLO O MOTE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
5,SAN ANTONIO,BACALAO DE PROFUNDIDAD,18,6,5, -   ,3,2,1, -   , -   , -   , -   , -   , -   , -   , -   
5,SAN ANTONIO,BESUGO,11,8, -   ,17,1,2,2, -   ,2,3,2, -   , -   , -   , -   
5,SAN ANTONIO,BLANQUILLO,15, -   , -   ,1,5,1, -   ,2,2, -   , -   ,1,5,8,2
5,SAN ANTONIO,CABALLA,59, -   , -   , -   ,73,22, -   ,23,5,95,42,117, -   , -   , -   
5,SAN ANTONIO,CAMARON NAILON,3, -   ,5,154,194,287,246,129,317,393,463,440,645,459,694
5,SAN ANTONIO,COJINOBA DEL NORTE,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,SAN ANTONIO,COJINOBA DEL SUR, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   
5,SAN ANTONIO,CONGRIO DORADO,1, -   , -   , -   ,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,SAN ANTONIO,CONGRIO NEGRO,25,2,15,18,14,9,29,3,12,27,5,3,3,6,4
5,SAN ANTONIO,GAMBA, -   , -   ,2,59,2,6,1,9,2,8,4,3,17,10, -   
5,SAN ANTONIO,JIBIA O CALAMAR ROJO, -   ,1, -   ,3,427,359,136,10,1,26,95,21, -   , -   ,2
5,SAN ANTONIO,JUREL,"1,770", -   , -   , -   , -   ,619,2,152,137,920,439,466, -   , -   , -   
5,SAN ANTONIO,LANGOSTINO AMARILLO,89, -   , -   , -   ,13,53,757,784,"2,086","1,788","1,370",986,974,620,451
5,SAN ANTONIO,LANGOSTINO COLORADO,141, -   , -   , -   , -   , -   ,2,18,57,142,146,935,812,"1,743","1,077"
5,SAN ANTONIO,MERLUZA COMUN,"10,676","15,179","11,950","12,735","6,621","2,312","3,259","5,421","2,090","1,097",938,"1,206","1,786","2,374","1,359"
5,SAN ANTONIO,MERLUZA DE COLA,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,027", -   , -   , -   , -   
5,SAN ANTONIO,MERLUZA DEL SUR O AUSTRAL, -   , -   , -   , -   ,28, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,SAN ANTONIO,PEJEGALLO,31,2,15,14,18,6,11,7,8,5,1,1, -   ,2,6
5,SAN ANTONIO,PEJEZORRO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
5,SAN ANTONIO,PESCADO NO CLASIFICADO,2, -   , -   , -   ,7,2,6,6,1,2,3,2,2,3, -   
5,SAN ANTONIO,PEZ SOL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   
